date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,opp_formation,referee,match_report,notes,team
2026-03-31,20:00 (19:00),Friendlies (M),Friendlies (M),Tue,Neutral,L,1.0,3.0,br Brazil,,46398.0,Luka Modrić,3-4-3,4-2-2-2,Armando Villarreal,Match Report,,Croatia
2026-03-26,19:30 (18:30),Friendlies (M),Friendlies (M),Thu,Neutral,W,2.0,1.0,co Colombia,,,Ivan Perišić,3-4-3,4-2-3-1,Rubiel Vázquez,Match Report,,Croatia
2025-11-17,20:45 (14:45),WCQ,First round,Mon,Away,W,3.0,2.0,me Montenegro,63.0,4673.0,Ivan Perišić,4-2-3-1,4-3-1-2,Halil Umut Meler,Match Report,,Croatia
2025-11-14,20:45 (14:45),WCQ,First round,Fri,Home,W,3.0,1.0,fo Faroe Islands,81.0,7846.0,Luka Modrić,3-4-3,5-4-1,Əliyar Ağayev,Match Report,,Croatia
2025-10-12,20:45 (13:45),WCQ,First round,Sun,Home,W,3.0,0.0,gi Gibraltar,81.0,7579.0,Mateo Kovačić,4-2-3-1,5-4-1,Oleksii Derevinskyi,Match Report,,Croatia
2025-10-09,20:45 (13:45),WCQ,First round,Thu,Away,D,0.0,0.0,cz Czechia,58.0,18870.0,Luka Modrić,4-2-3-1,4-2-3-1,François Letexier,Match Report,,Croatia
2025-09-08,20:45 (13:45),WCQ,First round,Mon,Home,W,4.0,0.0,me Montenegro,75.0,21209.0,Luka Modrić,4-2-3-1,3-4-3,Felix Zwayer,Match Report,,Croatia
2025-09-05,19:45 (13:45),WCQ,First round,Fri,Away,W,1.0,0.0,fo Faroe Islands,74.0,4632.0,Andrej Kramarić,2-4-3-1,3-4-3,Kristo Tohver,Match Report,,Croatia
2025-06-09,20:45 (13:45),WCQ,First round,Mon,Home,W,5.0,1.0,cz Czechia,61.0,12207.0,Luka Modrić,4-2-3-1,3-4-3,Jesús Gil,Match Report,,Croatia
2025-06-06,19:45 (13:45),WCQ,First round,Fri,Away,W,7.0,0.0,gi Gibraltar,69.0,1516.0,Ivan Perišić,4-2-3-1,4-3-3,Georgi Kabakov,Match Report,,Croatia
