date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,opp_formation,referee,match_report,notes,team
2026-03-31,19:45 (13:45),Friendlies (M),Friendlies (M),Tue,Home,L,0.0,1.0,jp Japan,,79233.0,Marc Guéhi,4-2-3-1,3-4-3,Nick Walsh,Match Report,,England
2026-03-27,19:45 (14:45),Friendlies (M),Friendlies (M),Fri,Home,D,1.0,1.0,uy Uruguay,,80581.0,Jordan Henderson,4-2-3-1,4-2-3-1,Sven Jablonski,Match Report,,England
2025-11-16,18:00 (12:00),WCQ,First round,Sun,Away,W,2.0,0.0,al Albania,70.0,21459.0,Harry Kane,4-3-3,4-2-3-1,Marco Guida,Match Report,,England
2025-11-13,19:45 (14:45),WCQ,First round,Thu,Home,W,2.0,0.0,rs Serbia,70.0,74289.0,Harry Kane,4-2-3-1,4-2-3-1,Ivan Kružliak,Match Report,,England
2025-10-14,21:45 (13:45),WCQ,First round,Tue,Away,W,5.0,0.0,lv Latvia,72.0,10404.0,Harry Kane,4-3-3,5-4-1,Tasos Sidiropoulos,Match Report,,England
2025-10-09,19:45 (13:45),Friendlies (M),Friendlies (M),Thu,Home,W,3.0,0.0,wls Wales,,78126.0,Declan Rice,4-2-3-1,4-2-3-1,Urs Schnyder,Match Report,,England
2025-09-09,20:45 (13:45),WCQ,First round,Tue,Away,W,5.0,0.0,rs Serbia,70.0,39789.0,Harry Kane,4-2-3-1,3-4-3,Clément Turpin,Match Report,,England
2025-09-06,17:00 (11:00),WCQ,First round,Sat,Home,W,2.0,0.0,ad Andorra,83.0,39202.0,Harry Kane,4-2-3-1,5-4-1,Mohammed Al-Emara,Match Report,,England
2025-06-10,19:45 (13:45),Friendlies (M),Friendlies (M),Tue,Home,L,1.0,3.0,sn Senegal,,26322.0,Kyle Walker,4-2-2-2,4-1-4-1,Stéphanie Frappart,Match Report,,England
2025-06-07,18:00 (11:00),WCQ,First round,Sat,Away,W,1.0,0.0,ad Andorra,83.0,8872.0,Harry Kane,4-2-3-1,5-4-1,Igor Pajač,Match Report,,England
