date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,opp_formation,referee,match_report,notes,team
2026-05-22,20:00 (21:00),Friendlies (M),Friendlies (M),Fri,Away,L,0.0,2.0,mx Mexico,,41235.0,Majeed Ashimeru,4-1-4-1,4-2-3-1,Selvin Brown,Match Report,,Ghana
2026-03-30,20:45 (13:45),Friendlies (M),Friendlies (M),Mon,Away,L,1.0,2.0,de Germany,,52723.0,Jordan Ayew,5-4-1,4-2-3-1,Stuart Attwell,Match Report,,Ghana
2026-03-27,18:00 (12:00),Friendlies (M),Friendlies (M),Fri,Away,L,1.0,5.0,at Austria,,40200.0,Jordan Ayew,4-2-3-1,4-2-3-1,Mohammed Khaled Al Hoish,Match Report,,Ghana
2025-11-18,20:00 (06:00),Friendlies (M),Friendlies (M),Tue,Away,L,0.0,1.0,kr Korea Republic,,33256.0,Gideon Mensah,4-2-3-1,3-4-3,Ahmad Al Ali,Match Report,,Ghana
2025-11-14,19:20 (05:20),Friendlies (M),Friendlies (M),Fri,Away,L,0.0,2.0,jp Japan,,40030.0,Antoine Semenyo,3-4-3,3-4-3,Ben Abraham,Match Report,,Ghana
2025-10-12,19:00 (14:00),WCQ,First round,Sun,Home,W,1.0,0.0,km Comoros,,,Jordan Ayew,3-4-3,5-3-2,Pierre Ghislain Atcho,Match Report,,Ghana
2025-10-08,17:00 (11:00),WCQ,First round,Wed,Neutral,W,5.0,0.0,cf CAR,,,Jordan Ayew,4-2-3-1,4-5-1,Patrice Milazar,Match Report,,Ghana
2025-09-08,19:00 (14:00),WCQ,First round,Mon,Home,W,1.0,0.0,ml Mali,,,Jordan Ayew,3-4-3,4-2-3-1,Luxolo Badi,Match Report,,Ghana
2025-09-04,14:00 (08:00),WCQ,First round,Thu,Away,D,1.0,1.0,td Chad,,,Jordan Ayew,4-2-3-1,4-1-4-1,Celso Alvação,Match Report,,Ghana
2025-03-24,19:00 (14:00),WCQ,First round,Mon,Neutral,W,3.0,0.0,mg Madagascar,,,Jordan Ayew,3-4-3,4-2-3-1,Issa Sy,Match Report,,Ghana
