date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,opp_formation,referee,match_report,notes,team
2026-05-31,18:30 (16:30),Friendlies (M),Friendlies (M),Sun,Away,L,2.0,6.0,br Brazil,,72140.0,Édgar Yoel Bárcenas,5-4-1,4-2-3-1,Daniel Schlager,Match Report,,Panama
2026-03-31,19:30 (12:30),Friendlies (M),Friendlies (M),Tue,Away,W,2.0,1.0,za South Africa,,,Aníbal Godoy,3-4-3,4-2-3-1,Thabang Ketshabile,Match Report,,Panama
2026-03-27,19:00 (12:00),Friendlies (M),Friendlies (M),Fri,Away,D,1.0,1.0,za South Africa,,,Erick Davis,5-4-1,4-2-3-1,Thabang Ketshabile,Match Report,,Panama
2025-11-18,20:00,WCQ,Third round,Tue,Home,W,3.0,0.0,sv El Salvador,,,Aníbal Godoy,3-4-3,4-3-3,Said Martínez,Match Report,,Panama
2025-11-13,20:00 (21:00),WCQ,Third round,Thu,Away,W,3.0,2.0,gt Guatemala,,,Aníbal Godoy,5-4-1,4-3-3,César Arturo Ramos,Match Report,,Panama
2025-10-14,20:00,WCQ,Third round,Tue,Home,D,1.0,1.0,sr Suriname,,,Erick Davis,5-4-1,3-4-3,Selvin Brown,Match Report,,Panama
2025-10-10,19:00 (20:00),WCQ,Third round,Fri,Away,W,1.0,0.0,sv El Salvador,,,Erick Davis,5-4-1,5-3-2,Drew Fischer,Match Report,,Panama
2025-09-08,20:30,WCQ,Third round,Mon,Home,D,1.0,1.0,gt Guatemala,,,Aníbal Godoy,4-2-3-1,4-4-2,Said Martínez,Match Report,,Panama
2025-09-04,18:30 (16:30),WCQ,Third round,Thu,Away,D,0.0,0.0,sr Suriname,,,Aníbal Godoy,4-2-3-1,5-4-1,Kwinsi Williams,Match Report,,Panama
2025-06-24,18:00,Gold Cup,Group stage,Tue,Neutral,W,4.0,1.0,jm Jamaica,66.0,3283.0,Aníbal Godoy,4-2-3-1,4-1-4-1,Selvin Brown,Match Report,,Panama
